50022.31
Index	Sum
214	-36099.12
215	-46850.31
216	-27344.12
217	-35402.74
218	-48599.43
219	-54989.96
220	-58089.13
221	-56793.03
222	-45483.82
223	-41962.64
224	-46075.22
225	-62102.23
226	-53570.12
227	-59736.67
228	-55482.80
229	-58288.17
230	-59788.82
231	-50795.53
232	-61327.47
233	-60170.21
234	-57580.23
235	-70274.97
236	-58089.60
237	-60288.77
238	-69885.79
239	-64073.27
240	-59909.10
241	-71512.41
242	-67481.86
243	-59749.13
244	-62066.85
245	-72588.73
246	-70303.00
247	-53778.10
248	-55996.66
249	-60612.37
250	-54467.65
251	-56648.93
252	-62371.11
253	-51564.07
254	-57334.16
255	-57400.95
256	-53551.28
257	-47048.38
258	-49862.47
259	-58073.71
260	-38445.61
261	-34810.73
262	-34354.75
263	-37033.35
264	-39377.96
265	-29391.03
266	-35179.34
267	-23286.05
268	-25076.01
269	-28252.09
270	-33967.51
271	-18772.69
272	-19734.76
273	-13749.61
274	-17037.79
275	-13726.08
276	-4444.36
277	-9883.74
278	-10432.67
279	-3820.03
280	-1237.57
281	12135.88
282	 1723.18
283	 6393.13
284	 8200.41
285	 6854.07
286	 3639.07
287	18312.91
288	29461.48
289	16990.70
290	28519.79
291	25521.81
292	20731.23
293	35275.14
294	37851.02
295	28173.46
296	49033.59
297	53659.27
298	39464.70
299	44089.84
300	49898.67
301	51604.30
302	48142.75
303	46724.01
304	61248.24
305	46648.78
306	45174.34
307	52105.05
308	59710.35
309	53611.23
310	61559.23
311	59913.27
312	63325.84
313	64533.12
314	56975.13
315	59953.05
316	65373.85
317	62055.33
318	65319.97
319	61561.79
320	67984.87
321	69714.52
322	67687.41
323	63381.90
324	56304.86
325	62428.84
326	62157.32
327	54831.14
328	61207.05
329	62645.75
330	66052.61
331	52556.92
332	58050.61
333	52715.46
334	53406.60
335	48066.81
336	51740.82
337	56815.74
338	53837.62
339	51684.27
340	36070.69
341	41158.93
342	45668.87
343	39724.39
344	32583.88
345	29700.66
346	40659.95
347	24835.52
348	26524.51
349	16274.44
350	30709.21
351	12141.29
352	14196.60
353	19182.66
354	 1001.94
355	17017.45
356	-2566.35
357	10934.34
358	 7706.75
359	 9414.63
360	 2236.57
361	-10524.80
362	 7122.32
363	-7192.46
364	-4586.79
365	-8963.93
366	-6360.17
367	-30962.66
368	-13027.08
369	-30023.09
370	-27174.42
371	-37065.71
372	-32647.87
373	-39017.25
374	-33598.45
375	-32680.59
376	-49466.23
377	-32914.79
378	-41010.30
379	-45441.21
380	-36831.29
381	-55082.23
382	-48785.23
383	-54038.41
384	-55065.34
385	-59329.65
386	-54135.67
387	-51519.38
388	-57211.95
389	-61428.40
390	-56146.34
391	-56490.77
392	-68086.80
393	-73220.68
394	-76771.05
395	-66962.45
396	-72562.53
397	-67655.38
398	-73118.98
399	-73107.30
400	-59861.78
401	-69914.92
402	-64577.58
403	-70276.27
404	-80746.28
405	-55016.66
406	-62592.05
407	-59953.36
408	-61237.02
409	-60951.09
410	-55921.21
411	-62996.00
412	-53742.71
413	-61293.12
414	-49386.72
415	-51596.26
416	-61005.36
417	-55278.05
418	-51634.51
419	-41534.11
420	-34885.33
421	-44238.60
422	-49931.65
423	-42561.50
424	-36110.96
425	-32028.84
426	-30189.03
427	-32187.94
428	-26350.95
429	-34123.17
430	-17315.52
431	-24362.90
432	-21994.43
433	-9505.40
434	-9290.67
435	-28999.55
436	 3156.36
437	-13061.95
438	-9803.80
439	-4563.84
440	 5818.69
441	 5713.55
442	15661.09
443	 7679.56
444	17258.54
445	 4598.84
446	 9417.93
447	24587.58
448	17733.52
449	25300.08
450	17782.59
451	33701.19
452	27722.52
453	41186.18
454	33670.16
455	33115.51
456	45431.35
457	46715.09
458	42552.60
459	30215.85
460	47094.71
461	55810.97
462	50913.11
463	48394.84
464	52254.02
465	60440.96
466	59164.05
467	58099.71
468	57986.36
469	60251.08
470	63662.11
471	58302.45
472	66101.16
473	63494.62
474	59447.21
475	71931.25
476	66948.85
477	61805.65
478	69259.18
479	64419.42
480	54078.75
481	62151.64
482	61996.78
483	64492.47
484	65811.95
485	58315.86
486	62458.71
487	70895.84
488	68093.25
489	61067.48
490	73754.16
491	63017.05
492	55942.52
493	60060.60
494	50378.56
495	47044.82
496	57362.91
497	49089.47
498	53328.23
499	44917.66
500	43325.22
501	46239.88
502	43225.47
503	42830.65
504	29369.12
505	39178.11
506	32838.81
507	31561.48
508	12393.74
509	21795.79
510	13027.32
511	22156.29
512	15506.14
